Unnamed: 0,speaker,sentence,dialect,dialect_norm
d1207-u369,FKon1207,zeersch hät er wiili lang gmacht daa,GL (Näfels),OT
d1147-u2011,HJak1147,fluuguntäuglìch,AG (Baden),OT
swissdial,7198,"dr regiarigsrot isch us üserer sicht do ufgforderet, a entsprechend besseri lösig z suacha.",ch_gr,OT
d1163-u2523,CJea1295,büecher zum lääse und da ebe,AG (Buchs/Zofingen),OT
d1075-u222,CJea1295,naachrichte sind für uns das isch ìsch miir pliibe,AG (Buchs/Zofingen),OT
d1048-u1498,WRos1048,wù äim veraate hetted,GL (Enneda),OT
swissdial,10720,"geld, wo ds wichtigsta schwizer sozialwerk dringend brucht.",ch_gr,OT
d1248-u843,VPet1248,ich ha das nid feschtgschtellt,AG (Baden/Brugg),OT
swissdial,1857,am zischtag teilwis näblig.,ch_vs,OT
swissdial,3029,"er dankt vor jedera beiz sinem schöpfer, dass es schnaps git.",ch_gr,OT
d1053-u1078,OJos1053,und düe sind die i d hitten ine der generaal mit u döt hent s es kafe gmacht und der generaal het,NW (Wolfenschiessen),OT
swissdial,5382,"er isch befründet mit am richard wagner, am gottfried keller und am ludwig uhland gsi.",ch_gr,OT
d1198_1-u1451,TJos1198,totaal andersch als meer,SG (Brütten ZH/Zuozwil),OT
swissdial,1800,ds leder isch durch siin hoha fettghalt stark wasserabwiisend.,ch_gr,OT
d1053-u1273,OJos1053,jawoll das maini,NW (Wolfenschiessen),OT
swissdial,9535,bislang isch das ber nit mehr als a absichterklärig.,ch_gr,OT
swissdial,4319,"im november isch er unter polizeilicher gwalt zwunga worda, weg miatrückständ sin loft z ruuma.",ch_gr,OT
swissdial,6197,"fast aber hätti er ihn nit wiedererkennt, so verwandlet, vu dr sunna brüünt und rüstig isch dr jüngling erschiena.",ch_gr,OT
d1163-u1482,CJea1295,und dänn isch aber no ai film gsii,AG (Buchs/Zofingen),OT
d1163-u702,CJea1295,ha das sithär alles wider chönnen über bord wärfe,AG (Buchs/Zofingen),OT
d1212-u1079,MHan1212,naacher sägendsch es de vilicht nimme soo weis nid,VS (Naters),OT
d1259-u1460,MEdu1259,aso dä lütnand und d underoffier nacher,AG (Full-Reuenthal),OT
swissdial,9606,dia beida partner sind nur im nationalrot vertreta.,ch_gr,OT
d1259-u1771,MEdu1259,und dänn isch s zwaiti ufgebot cho für id underoffiziersschuel woni im,AG (Full-Reuenthal),OT
d1248-u3027,VPet1248,joo d informazion ganz andersch gloffe,AG (Baden/Brugg),OT
d1063-u1233,HEll1063,den alliwirte iri aso im dienscht wi de hauptme,AG (Baden),OT
d1248-u2821,VPet1248,nüüt schwiizerisch,AG (Baden/Brugg),OT
swissdial,6017,im johr 1997 het dr stallone z publikum und dkritiker mit sinara darstellerischa leistig in cop land überzügt.,ch_gr,OT
swissdial,1514,fascht siebu stunde het die gross chammra am zischtag und mittwoch uber d'vorlag gibrietut.,ch_vs,OT
d1048-u1383,WRos1048,sächshundert gram schpäisefet oder sächs dezilitterschpäiseööl,GL (Enneda),OT
d1295-u1374,CJea1295,villicht gäbt dä doch zlätscht aa ka chrieg mee,AG (Buchs/Zofingen),OT
d1259-u103,MEdu1259,do früäner hät me no vo hand gras gmait,AG (Full-Reuenthal),OT
swissdial,101,"was seit d sexualpädagogik zur ""generation porno""?",ch_gr,OT
d1198_1-u2189,TJos1198,aber gschemt ha mich he,SG (Brütten ZH/Zuozwil),OT
d1198_2-u429,TJos1198,i de volblüeti he,SG (Brütten ZH/Zuozwil),OT
d1209-u373,BHan1209,wo dèè gro de sol de brõõssefiguur ezt im areaal vom bundesarchiif schtaat wo der irgendwie de,SZ (Schwyz),OT
swissdial,1082,schine vater daniel schmelzer isch bäcker gsi und bürger va scheibbs.,ch_vs,OT
swissdial,769,üla nutzen bäum als gmeinsama schlofplatz.,ch_gr,OT
swissdial,1387,mitsch dri bi de demonschtrantu isch öi der tuktuk-fahrer hussein.,ch_vs,OT
swissdial,9975,"wer indes meini, in dr direkta demokratie sigs sinnvoll, ultimata z stella, heh d schwiz nit begriffa.",ch_gr,OT
d1255-u811,GAlo1255,faareschträäiwi wenn si wisset was das isch,UR (Göschener Alp),OT
swissdial,5139,"ds mul isch oft stark vorstülpbar, d lippa hüfig mit bartla bsetzt.",ch_gr,OT
swissdial,2756,"chlage wägu discher strafnorm gits bis jetz wenig, seit z'grosi.",ch_vs,OT
d1147-u419,HJak1147,fǜr fǜfzg rappe,AG (Baden),OT
swissdial,2368,er hebt dr kübel ir hand.,ch_gr,OT
d1007-u757,EJos1007,was gaat susch si hend miesse angscht haa,NW (Stans),OT
d1248-u922,VPet1248,me händ angscht gha dass wenn sii chömmed sigemer ned vorberaited,AG (Baden/Brugg),OT
d1007-u801,EJos1007,de chunt al jaar de chunt al jaar ainisch uf schtans de isch hier im schwiizerischen alpeklup,NW (Stans),OT
swissdial,1965,im betrieb macht er dr powernap uf dr betriebseigna toiletta.,ch_gr,OT
swissdial,1489,sie unterrichtet zudem als sekundarlehrerin im kanton baselland.,ch_gr,OT
swissdial,2346,"a paar stuck gönd aber au in richtig blues, acoustic, folk oder funk.",ch_gr,OT
d1259-u645,MEdu1259,a de sunntige und alls zäme und,AG (Full-Reuenthal),OT
swissdial,1492,"em esch öppif vorgworfe worde, dasser versuecht het, enes ermettligfsverfahre ihz'griffe.",ch_ag,OT
d1212-u349,MHan1212,daazumal hèts de noch nìd also wäschmaschine so halb automaate aber susch hèts ja na ke wäschmaschine ggä da hèt mer de na miesse riibu,VS (Naters),OT
d1205-u1458,NThe1205,und äbe denn,SH (Ramsen),OT
d1163-u3256,CJea1295,e schwarzträffer und ha das gmacht,AG (Buchs/Zofingen),OT
d1007-u366,EJos1007,tieged daas behòüpte das sig aso e waarhait,NW (Stans),OT
swissdial,7194,"drum simmer au froh, dass dr regiarigsrot bereit isch, d ziffera 1 und 2 azneh.",ch_gr,OT
d1207-u2256,FKon1207,zǜǜg,GL (Näfels),OT
swissdial,2494,i bin nur so gsprunga zum di iihola.,ch_gr,OT
d1075-u65,CJea1295,das sind soo erinnerige glii am aafang vom chrieg,AG (Buchs/Zofingen),OT
d1147-u2315,HJak1147,esoo gmacht ùnd sìnd dèn schöön mitchoo,AG (Baden),OT
d1207-u1585,FKon1207,ich ha de der ruggsagg nümme ghaa,GL (Näfels),OT
swissdial,1501,wenig öberraschend - werd doch d'klimabewegig em wesentleche fo jonge erwachsene treit.,ch_ag,OT
d1248-u2563,VPet1248,i dr usbildig und im eggzerziiere hät me di tütsche noogmacht,AG (Baden/Brugg),OT
d1198_1-u681,TJos1198,und den nòchane hani jò dihäi aagfange,SG (Brütten ZH/Zuozwil),OT
swissdial,10035,"d maras hend ds vakuum gfüllt, wos in viela stadtviertel und landesteil git.",ch_gr,OT
d1063-u1460,HEll1063,ùnd min maa ìsch hääichoo mit em töff ùnd es ìsch also es isch natüürlech,AG (Baden),OT
d1205-u876,NThe1205,er hät halt mit em schtatpräsident brendolf hät er do,SH (Ramsen),OT
d1207-u823,FKon1207,aber daa hani dän emale,GL (Näfels),OT
d1075-u838,CJea1295,s broot ìsch jo äu voo,AG (Buchs/Zofingen),OT
d1295-u312,CJea1295,scho mängisch drüber gredt,AG (Buchs/Zofingen),OT
d1073-u427,CJea1295,das ìsch ganz ganz schlim gsìì ganz schlim,AG (Buchs/Zofingen),OT
swissdial,8909,"glich hets do wiit dussa an fleck erda geh, an wellem miar füf neui arta und füf neui unterarta vu singvögel hend entdecka könna.",ch_gr,OT
d1163-u630,CJea1295,woo woo bis und mit kompanii,AG (Buchs/Zofingen),OT
swissdial,8042,bekannt worda isch er dur sini interviews während dr verfassigsgebenda versammlig vor füf johr.,ch_gr,OT
d1163-u1285,CJea1295,detä achtigschtellig und gweergriff mache,AG (Buchs/Zofingen),OT
d1198_1-u407,TJos1198,und den han ich halt aifacht entekt,SG (Brütten ZH/Zuozwil),OT
swissdial,2412,es regnet liecht ufem warme asphalt.,ch_sg,OT
d1163-u822,CJea1295,dä isch dä isch giiger het dä ghaisse da isch ganz e guete,AG (Buchs/Zofingen),OT
swissdial,2538,susch schlof i am nomi i.,ch_sg,OT
swissdial,234,starche föhn.,ch_vs,OT
swissdial,4399,sin vater het sis interesse an klibildkameras gförderet und het sinem sohn a dunkelkammera iigrichtet.,ch_gr,OT
swissdial,9291,dr verkehrshelikopter ghört am nationalrot siit 2015 ah.,ch_gr,OT
swissdial,5117,schlussendlich isch er zum musiklabel yo mama koh und het im johr 1999 d lauryn hill uf ihrer europatournee begleitet.,ch_gr,OT
swissdial,5230,d routa wiicht do vu dr mosel ab und durchquert nancy um da wiiti moselboga zum d stadt abzschnieda.,ch_gr,OT
swissdial,1482,"bsunders schätzt sie au d bsüach, wo sie vu fraua us dr umgebig kriagt.",ch_gr,OT
d1259-u1480,MEdu1259,isch dänn passiärt dass dass sägi jez wie mer das ghört händ,AG (Full-Reuenthal),OT
d1205-u1402,NThe1205,an baslerhafe,SH (Ramsen),OT
swissdial,5900,"iar könnt nit wüssa, ob i im sinn vum gsetz schuldig oder unschuldig bin.",ch_gr,OT
swissdial,7029,"i möcht dia in dr reihafolg, wia sie sich uf dr vorlag befinden, vorstella loh.",ch_gr,OT
d1259-u1523,MEdu1259,pulverschnee da ischs,AG (Full-Reuenthal),OT
d1207-u1897,FKon1207,s ganz batalijoo vertäilt,GL (Näfels),OT
swissdial,181,vell verchäufer händ fo botanik kei ahnig.,ch_ag,OT
d1209-u528,BHan1209,es isch ja äu die telifoonhöö die telifoongschprääch sind ja abghöört woorden und ich ha daa uusschtellig e paar uuszüüg äinisch überchoo,SZ (Schwyz),OT
d1053-u667,OJos1053,aso privaat het s aigetlich nie het s nid ggä,NW (Wolfenschiessen),OT
d1255-u429,GAlo1255,ääinisch wääiss i wo wo d schwäägeri geboore het het,UR (Göschener Alp),OT
d1212-u1087,MHan1212,unner de knute gsii gseit ich hä jez scho driissg jaare,VS (Naters),OT
swissdial,10421,drvo hend aber nur öpa füf bis sechs proba ussam kanton tessin gstammt.,ch_gr,OT
d1073-u1022,CJea1295,das het men aso gschpǜǜrt,AG (Buchs/Zofingen),OT
swissdial,654,er het en scher gno ond de decki buch vom wolf ufgschnette.,ch_ag,OT
d1063-u601,HEll1063,häm mììr die fäändli de franzoose vertailt,AG (Baden),OT
d1063-u752,HEll1063,aa die hetted sìch gäg di tüütsche dò di he d naazis hetted si natüürlìch soo,AG (Baden),OT
d1259-u359,MEdu1259,do unde nit und dänn händ die was händ die gmacht,AG (Full-Reuenthal),OT
swissdial,5812,alli sind zwüscha 1870 und 1872 in dienst gstellt worda und sind mit 3700 bis 3800 brt vermessa gsi.,ch_gr,OT
d1053-u1121,OJos1053,öb die schaffet ja gschaffet hent die scho aber es sind aarm chaaibe gsi vo hand aues,NW (Wolfenschiessen),OT
d1075-u1083,CJea1295,aber es ìsch an sich äu doo wider,AG (Buchs/Zofingen),OT
d1207-u734,FKon1207,pünt obe,GL (Näfels),OT
swissdial,1199,en stürmische herbst bringt viel gwitter und chalti luft.,ch_sg,OT
swissdial,9049,"aber menscha, wo ganz wenig soziali kontäkt hend, gits bi üs weniger als in england.",ch_gr,OT
d1207-u745,FKon1207,hä näi häe,GL (Näfels),OT
d1207-u1803,FKon1207,chopf über hals,GL (Näfels),OT
d1163-u1895,CJea1295,tampuuren i miim zoog gha i ha denn de füürzoog ghaa im aktivdienscht,AG (Buchs/Zofingen),OT
d1163-u2253,CJea1295,uusgschproche het s ghaisse ofizier,AG (Buchs/Zofingen),OT
swissdial,885,"e zwölf johr werds rond 26 prozänt meh mönsche geh, wo a diabetes typ 2 lide.",ch_ag,OT
d1163-u391,CJea1295,und und het denn en en,AG (Buchs/Zofingen),OT
d1147-u254,HJak1147,ùnd de hani hani ggsait ìch möchti mìch nicht zerschplittere,AG (Baden),OT
d1255-u442,GAlo1255,wäge me biz hueschte unt unt haltswee und da,UR (Göschener Alp),OT
swissdial,102,"in äthiopie würme sich bi augekontakt grüesse, au wenn me sich nöd wür kenne.",ch_sg,OT
swissdial,561,de zwoiti wahlgang versprecht also einiges a spannig.,ch_ag,OT
d1207-u1903,FKon1207,öppis normaals öppis schtabiils überchùù,GL (Näfels),OT
swissdial,8159,"er welli aber dia ihm gebni glegaheit nutza, zum sich wieder voll in d gsellschaft iizgliedera.",ch_gr,OT
d1295-u671,CJea1295,dass dä vo denä konzetrazionslager dass hät mer aso,AG (Buchs/Zofingen),OT
swissdial,1584,es isch bereits dr dritt in dera brandsaison.,ch_gr,OT
swissdial,9933,"isch es ihrera meinig noh so öpis wiana bürgerpflicht, geg da klimawandel z demonstriara?",ch_gr,OT
swissdial,494,züesätzlich versteit är d'avance vaner ruby ihm gägunuber am afang nit.,ch_vs,OT
swissdial,7564,"uf dr noch glegna flemish farm befinden sich 120 ställ, weida und an üabigsplatz.",ch_gr,OT
swissdial,7297,drnoch isch er kommandeur vum regiment vum kurprinz worda.,ch_gr,OT
d1295-u330,CJea1295,und bis ich denn äbe,AG (Buchs/Zofingen),OT
d1255-u1004,GAlo1255,mir hend s nid,UR (Göschener Alp),OT
d1147-u603,HJak1147,ùnd füfedriissig d uuo ùnd apverdient ùnd im säggsedriissgi im januaar,AG (Baden),OT
d1209-u410,BHan1209,de isch jaa dialäkt vom isch daas und den isch er genääu de see,SZ (Schwyz),OT
d1147-u2592,HJak1147,wèn dò irgendwie krittisch bìn ìch deet ùnde ggsii,AG (Baden),OT
swissdial,1920,was isch das global footprint network?,ch_sg,OT
d1207-u1973,FKon1207,und d schtandarte vooredraa e fürchtige siech isch das gsìì e richtige,GL (Näfels),OT
swissdial,2159,aagstrebt isch au a fusion zwüscha dr schual für gstaltig in aarau und dr bruafsschual aarau.,ch_gr,OT
d1212-u520,MHan1212,di hènd ö zum bischpil mìt riis zuker,VS (Naters),OT
swissdial,1734,"aber er het ned wedersproche, wo sie sech gweigeret het.",ch_ag,OT
d1073-u224,CJea1295,ìsch bass gsìì und die si ǜǜberal aane,AG (Buchs/Zofingen),OT
d1073-u132,CJea1295,und den häi mir natüürlig äu vo dr schtat häär häi mir ame sundig hämer immer seer vil gèscht ghaa wo zu öis choo sìì,AG (Buchs/Zofingen),OT
d1163-u2530,CJea1295,dütsche vomene tütsche konzäntrazionslaager,AG (Buchs/Zofingen),OT
swissdial,10871,a übersicht vur mediakonferenz vum bundesrot finden sie do.,ch_gr,OT
swissdial,369,em wenter chamer ofem see schlettschuehlaufe.,ch_ag,OT
swissdial,2210,"nach dem er solang ruehig gsi esch, hani ne gfrogt ober höt obe met mer wäg wett.",ch_ag,OT
d1198_1-u974,TJos1198,kan andere saal sus hets ghaisse,SG (Brütten ZH/Zuozwil),OT
swissdial,1239,"z'abentüür alp faht ungfähr da ah, wa d'wältbrüehmt genauigkeit vanera schwizer wandercharta an ihri gränze stosst.",ch_vs,OT
swissdial,436,"in discher stadt ändrut schich vill, mit dum ihzug vam erschtu fernseh.",ch_vs,OT
swissdial,10315,aber d bundesamt für gsundheit gshet d pflicht bi da kantön.,ch_gr,OT
d1248-u2215,VPet1248,hani gsait doch,AG (Baden/Brugg),OT
