Unnamed: 0,speaker,sentence,dialect,dialect_norm
d1163-u2473,CJea1295,föif settigi wienerschnizel esoo,AG (Buchs/Zofingen),OT
swissdial,1323,schi isch z'tehran gstartut und het kiew ahgipeilt.,ch_vs,OT
swissdial,7785,"unter da städt, wo sie verlora het, isch au ankara, d hauptstadt.",ch_gr,OT
d1163-u224,CJea1295,äifach wo jo mus sii wenn meereri lüüt zäme sind he,AG (Buchs/Zofingen),OT
swissdial,231,der bahnhof isch absits vam ort glägu.,ch_vs,OT
d1073-u682,CJea1295,mi brüeder ìsch de erschti gsìì wo in gälterchinde e raadioo paschtlet het,AG (Buchs/Zofingen),OT
swissdial,2745,natürli voschtoht ers nöd.,ch_sg,OT
d1259-u1227,MEdu1259,en schuelkomandant gha en herr schmit mit,AG (Full-Reuenthal),OT
d1255-u963,GAlo1255,und de bis ändi mäi aafangs juuni isch halt,UR (Göschener Alp),OT
d1295-u84,CJea1295,das sälber go luege,AG (Buchs/Zofingen),OT
swissdial,3744,"dr duke, dr verwöhnti sohn vunem millionär, will unbedingt karriera als boxer macha.",ch_gr,OT
d1053-u284,OJos1053,dasch da hent de die probleem aagfange wärend chrieg,NW (Wolfenschiessen),OT
swissdial,1215,"dezue gehts em süde vellecht es paar quellwolche au öber de bärge, aber die bliebe harmlos.",ch_ag,OT
swissdial,10221,"vieli geben ah, sich usfüahrlich informiart z haa.",ch_gr,OT
swissdial,1364,vor allem saudi-arabia und dia vereinigta arabischa emirat hend in da letschta johr a massic antiiranischi politik gfüahrt.,ch_gr,OT
swissdial,984,de liedtext bestoht os vier strophene ond emene refrain zo je vier ziele.,ch_ag,OT
d1212-u918,MHan1212,zum klaar z löüffe hèt iisch nid vil üsgmacht,VS (Naters),OT
swissdial,523,"in zweiter linia ligge di balla aber öi bi de andru parteie, mituner öi bi der sp.",ch_vs,OT
swissdial,292,"in discher zit heder schis meischterwärch ""z'buckligi pferdji"" gschribu.",ch_vs,OT
d1248-u177,VPet1248,hät dän folgende schpruch iigschikt,AG (Baden/Brugg),OT
swissdial,4041,d möva-werk hend drbii zum grössta betrieb vu mühlhausa avanciert.,ch_gr,OT
d1248-u1452,VPet1248,äs isch,AG (Baden/Brugg),OT
swissdial,9240,anera urabstimmig hend ihm d gnossaschafter ihres vertraua usgsprocha.,ch_gr,OT
d1255-u257,GAlo1255,der schwäär lawiinewinter gsi isch he,UR (Göschener Alp),OT
swissdial,523,"in zweiter linia liggi dr ball aber au bi da andera parteia, mitunter au bi dr sp.",ch_gr,OT
swissdial,1158,ede höchere alpetäler werds echli fröscher.,ch_ag,OT
d1248-u560,VPet1248,jo sii chönd natüürlich scho säge schig schpekulation ggsii,AG (Baden/Brugg),OT
d1073-u1481,CJea1295,aber i wäiss das sìì zuezooge worde si zum schaffe,AG (Buchs/Zofingen),OT
swissdial,5013,"woner dr schiffsmotor tschäddera loh het, hani nüt meh ghört.",ch_gr,OT
d1259-u635,MEdu1259,de hät dänn sogar no freiwillig do paar älteri do händ ggsait ja mir mached,AG (Full-Reuenthal),OT
d1248-u2145,VPet1248,was hät denn das usglööst bi ine ez,AG (Baden/Brugg),OT
swissdial,797,friehner isch der pfarrer ans stärbebett cho.,ch_vs,OT
swissdial,2748,sie het eifach ned verstande werom.,ch_ag,OT
swissdial,1111,"üsserdem ischs schwierig und tiir gsi, ersatztteila fer d'maschina z'vercho.",ch_vs,OT
d1205-u1107,NThe1205,öpper cho isch und hät gsait,SH (Ramsen),OT
d1063-u1213,HEll1063,jò im viirzgi,AG (Baden),OT
swissdial,65,"sini reife hend doredreit, er isch of d'site grötscht.",ch_ag,OT
swissdial,7448,"april 1957 ab, vu da iigspielta stuck isch aber kei einzigs veröffentlicht worda.",ch_gr,OT
d1007-u83,EJos1007,han ich d famili immer chenne zämehaa,NW (Stans),OT
d1205-u1175,NThe1205,umegloffe und wänn en puur cho isch mit de chüe und d d chue hinnen öppis fallelo hät isch alls uf de chueflade loos oder da me dünger gcha hät im garte he,SH (Ramsen),OT
swissdial,1239,"sabentüür alp fangt öpe döt ah, wo di weltberüehmt gnauigkeit vo de schwiizer wandercharte a ihri grenze stosst.",ch_sg,OT
swissdial,390,"originell isch sin versuach gsi, as neus mittelalter-curriculum z entwerfa.",ch_gr,OT
d1248-u908,VPet1248,s land bsezt gha hätted häts mit garantii ä undergrundbewegig gää,AG (Baden/Brugg),OT
d1007-u864,EJos1007,und die rekruite die hend das ja ganz leschèèr sind die gsii die hend,NW (Stans),OT
d1212-u683,MHan1212,jaa ìch hä öü verschìdeni so biecher,VS (Naters),OT
d1207-u485,FKon1207,ja müend uufpasse,GL (Näfels),OT
d1259-u590,MEdu1259,so ja es isch dänn so wiit cho nid und dänn hät mer do,AG (Full-Reuenthal),OT
swissdial,155,"wo bekannt worde isch, wer isch isch, ischer ines gfängnis in utrecht cho.",ch_sg,OT
d1147-u1787,HJak1147,gfächts,AG (Baden),OT
swissdial,878,"neba gsundheitsversorgig sprechen sie thema wia mobilität, öffentlichi sichrheit, wohna und so wiiter ah.",ch_gr,OT
swissdial,2272,der tom het ztüech üsgwrungu.,ch_vs,OT
swissdial,3907,das kann zum bispiel inem kalender protokolliart werda.,ch_gr,OT
swissdial,73,"zum tüüfel, hani vobittered denkt, denn betrinki mi halt.",ch_sg,OT
swissdial,2578,d'scharfu kante vaner zerklüftetu fälswand hent mu dhüt abgschürft.,ch_vs,OT
d1163-u630,CJea1295,woo woo bis und mit kompanii,AG (Buchs/Zofingen),OT
d1063-u1539,HEll1063,mit minister barée,AG (Baden),OT
d1259-u1874,MEdu1259,übere z cho dänn händ si do iri,AG (Full-Reuenthal),OT
d1207-u1689,FKon1207,isch es rächts,GL (Näfels),OT
d1198_2-u851,TJos1198,und iich iechoo und,SG (Brütten ZH/Zuozwil),OT
d1248-u864,VPet1248,händ diä natüürli bsunders angscht gha,AG (Baden/Brugg),OT
d1007-u355,EJos1007,und deet wos so bräntschilig gsii isch sind sii z noijechilch gsii glòüb ich,NW (Stans),OT
swissdial,1431,"""so vieli kenianer leben hüt in unzfriedaheit, hektik und duurstress"", seit dr leiter vunem rehazentrum usserhalb vu nairobi.",ch_gr,OT
swissdial,798,"drum sig er aktiv gworda, zemma mit andara institutiona ussam bereich vur anthroposophischa medizin.",ch_gr,OT
swissdial,6746,"miar wenn ihna zeiga, dass das, was sie machen, wertvoll isch, und dass miars schätzen und gsehn.",ch_gr,OT
d1163-u1401,CJea1295,und do will iich a ain erinnere,AG (Buchs/Zofingen),OT
d1063-u993,HEll1063,telifoniirt jò ich müesen hole si chöned dèè nìd phalte sèg ìch jò wisoo jò er t tügi,AG (Baden),OT
swissdial,1653,dodege hets be 5 onentschede 21 nederlage abgsetzt.,ch_ag,OT
swissdial,10587,dr iwan lieberherr. immer meh lüt kehren dr schwiiz dr rucka.,ch_gr,OT
swissdial,2384,sini könstlerische schwerpönkt send neui musig ond au sini musig improvisiert er.,ch_ag,OT
d1198_1-u923,TJos1198,tütsche koleege wo da erlèbt hènd he,SG (Brütten ZH/Zuozwil),OT
swissdial,2199,insbsundra iner ditschschwiz hei wer vill z'wenig plätz fer üsländischi fahrendi.,ch_vs,OT
d1295-u1421,CJea1295,ä riise fröid ggsii s händ all lüüt händ,AG (Buchs/Zofingen),OT
swissdial,10022,"bsunders gfallt da befrogta, dass d usländerinna und usländer do schaffen.",ch_gr,OT
d1295-u692,CJea1295,cho won ich im dienscht ggsii bi,AG (Buchs/Zofingen),OT
swissdial,2427,froget si minetwege duuskunft.,ch_sg,OT
d1048-u1668,WRos1048,ja natüürlich isch das isch öpper äigentlich,GL (Enneda),OT
swissdial,2050,"er söll dr ständerotssitz, wo d fdp vor acht johr verlora het, zruckhola.",ch_gr,OT
d1147-u2139,HJak1147,ùnd dòò ìsch am,AG (Baden),OT
d1063-u595,HEll1063,uund en schuelkoleeg vo mììr hèt frei gha ùnd e schuelkoleegin vo mììr ìsch ä z pariis ggsii mììr drèi händ frèi gnò,AG (Baden),OT
swissdial,1901,"das sig tüür und schrecki vieli investorinna und investora ab, so dr schemmel.",ch_gr,OT
swissdial,760,"öi cha schi schädu an sunnublüeme-, ärbsu- und sojabohnukulture verursachu.",ch_vs,OT
d1075-u794,CJea1295,jǜǜdischen aaghöörige ghaa,AG (Buchs/Zofingen),OT
d1147-u2111,HJak1147,tèmpo chunt vo,AG (Baden),OT
d1209-u808,BHan1209,oder de sind d puure wäns e chue hend müesse mezge sinds vo huus zu huus ggange go fraage nämeder es kilo zwäi fläisch und den halt dem puur zlieb das fläisch abgnoo,SZ (Schwyz),OT
d1063-u1389,HEll1063,bì zǜri jò im tööstaal,AG (Baden),OT
swissdial,5777,ähnlich wia bim in ur usgrabna toilettaset sind au do verschiedni grät zur körperpfleg anem ring befestigt gsi.,ch_gr,OT
swissdial,2346,"es paar stück gönd aber au i richtig blues, acoustic, folk oder funk.",ch_sg,OT
d1198_1-u1006,TJos1198,jòò,SG (Brütten ZH/Zuozwil),OT
swissdial,2717,schini oberflächi isch unäbu gsi.,ch_vs,OT
d1207-u82,FKon1207,ììch han ä na gsunge jòjò aber mee han nachhère musig gmacht hä jaja,GL (Näfels),OT
swissdial,6581,mit em zweita album ahead het lunik an grossa schritt in richtig popmusik gmacht.,ch_gr,OT
d1163-u2499,CJea1295,me haig ned hunger gha effektiv hät mer also jungi lüt händ hunger gha,AG (Buchs/Zofingen),OT
d1198_1-u1497,TJos1198,und die hèt,SG (Brütten ZH/Zuozwil),OT
d1198_1-u733,TJos1198,autotraktoor den gchaufft en plimut,SG (Brütten ZH/Zuozwil),OT
d1248-u1179,VPet1248,driisg ggsii,AG (Baden/Brugg),OT
d1198_1-u2096,TJos1198,ainngli tum glauffe,SG (Brütten ZH/Zuozwil),OT
swissdial,176,"die wird au im lade vochauft, aber mitme entsprechende hiiwis, will rohmilch cha chrankheitserregendi keim enthalte.",ch_sg,OT
d1209-u825,BHan1209,und isch en,SZ (Schwyz),OT
swissdial,7339,d azahl vu da hergstellta münza isch in da ersta johr ufgrund vur knappheit vum silber relativ gring usgfalla.,ch_gr,OT
d1007-u612,EJos1007,die waar wome ghaa het zalt und,NW (Stans),OT
d1163-u1041,CJea1295,vo äbe vo hergiswiil s äntlibuech und rings um d schwiz umen eso,AG (Buchs/Zofingen),OT
swissdial,3,de isch au im april wieder zueverlässig uf sim heisse stuehl ghockt.,ch_sg,OT
d1295-u1717,CJea1295,wo wo aso ned schön ggsii isch,AG (Buchs/Zofingen),OT
d1163-u187,CJea1295,schüsch han i gaar nüd mitüberchoo eso,AG (Buchs/Zofingen),OT
swissdial,6028,"0,6 prozent vu da in dütschland lebenda befrogta als schwul bezüchigswiis.",ch_gr,OT
d1163-u2693,CJea1295,aa ebe dää wo wo wo wo wo tütschfründlech isch he,AG (Buchs/Zofingen),OT
d1259-u380,MEdu1259,mänsch en franke taaggäld gha,AG (Full-Reuenthal),OT
d1207-u183,FKon1207,aso i miiner ziit he,GL (Näfels),OT
d1255-u150,GAlo1255,minteschtens siibe moonet het me dinne müsse hääize het e huufe brennmateriaal pruucht he,UR (Göschener Alp),OT
swissdial,353,dischi ernährunt schich zersch va hewgumper und chleinu eidechse.,ch_vs,OT
swissdial,8337,"as gwitter kunnt uf und dr grossvater und dr enkel schinen in da wolka verlora ganga z sii, was d grossmuater sehr betrüabt.",ch_gr,OT
d1073-u994,CJea1295,chö̀ne rekwiriere in baasel brifaat,AG (Buchs/Zofingen),OT
d1205-u1202,NThe1205,denn hät em de vatter gsait jo er hei em eifach zwanzg kilo määl uusgliferet,SH (Ramsen),OT
d1212-u1206,MHan1212,jaa e klaar hän ich daas mitverfolgt aber ich hän ich hä,VS (Naters),OT
swissdial,5763,"dr einzigi nitbritischi medailliagwünner isch dr australier reginald baker gsi, wo im mittelgwichtsfinal am johnny douglas unterlega isch.",ch_gr,OT
d1048-u1320,WRos1048,ggìì wo si ds rächt gchaa händ z überchùù,GL (Enneda),OT
d1198_1-u164,TJos1198,und santmargreete,SG (Brütten ZH/Zuozwil),OT
swissdial,1888,am obig nit ganz wolkalos.,ch_gr,OT
swissdial,2498,i ha noch ihre griffe und a de mündig gschmöckt.,ch_sg,OT
d1259-u89,MEdu1259,ggsii ebe das mers no händ chönne,AG (Full-Reuenthal),OT
swissdial,9079,"türa unterricht, spötistens do fangt au a gsellschaftlichi diskusion ah.",ch_gr,OT
swissdial,2126,in bellinzona isch dr triebzug ussam huus stadler rail tauft worda.,ch_gr,OT
d1198_1-u1919,TJos1198,zwibak mhm,SG (Brütten ZH/Zuozwil),OT
d1163-u2310,CJea1295,und und ha churz gret mitem,AG (Buchs/Zofingen),OT
d1255-u894,GAlo1255,unt het men am,UR (Göschener Alp),OT
d1259-u1760,MEdu1259,und am donnschtig uf dä fritig isch sicher wider aine ggsii,AG (Full-Reuenthal),OT
swissdial,125,will scho in ihrusch chindheit het der rothaarigu nur tummheite gmacht.,ch_vs,OT
d1207-u984,FKon1207,das isch der,GL (Näfels),OT
swissdial,3682,am ussichtspunkt befinden sich as paar eifachi tisch und bänk für picknick sowiea toiletta.,ch_gr,OT
swissdial,399,"dr geist heg ihn nid verschrocka, sondern inspiriart.",ch_gr,OT
d1209-u111,BHan1209,zu dère ziit isch me doch paatriootisch no seer,SZ (Schwyz),OT
swissdial,1590,"er seg aber kein ""fraue-vohinderer"", het er wiiter betont.",ch_sg,OT
d1198_1-u968,TJos1198,aine in wiil und aine in zuezwiil he,SG (Brütten ZH/Zuozwil),OT
d1048-u1458,WRos1048,isch äim uf der chaarte wider ewägg gnùù woorde,GL (Enneda),OT
d1073-u1369,CJea1295,ìsch ìsch si iizooge worde het e reggruteschuel müese mache,AG (Buchs/Zofingen),OT
d1007-u256,EJos1007,tänkt schlaaft er ächt oder lòüft er i de wonig umenand im tunklen oder esoo me het doch amig angscht ghaa,NW (Stans),OT
d1259-u227,MEdu1259,wä mr achtezwänzgi isch,AG (Full-Reuenthal),OT
swissdial,2534,är het sogar hie obena gschlafu.,ch_vs,OT
swissdial,1139,äs isch aber nur es zwischuhoch.,ch_vs,OT
d1048-u362,WRos1048,hät daas ùnd dises gleernet ùnd hät daas natüürlich däne,GL (Enneda),OT
d1163-u1898,CJea1295,und die händ denn händ denn,AG (Buchs/Zofingen),OT
d1198_2-u562,TJos1198,soo wie sii dò wirtschaftet da chönd si mache,SG (Brütten ZH/Zuozwil),OT
d1205-u566,NThe1205,miserabli underkunft händ oder,SH (Ramsen),OT
d1207-u1017,FKon1207,wo mer sust öppe vier schtund gchaa het simmer immer öppe i zwee schtund use,GL (Näfels),OT
